Region.1 Aug 2016,1 Aug 2016,1 Aug 2016,1 Aug 2016,2 Aug 2016,2 Aug 2016,2 Aug 2016,2 Aug 2016,3 Aug 2016,3 Aug 2016,3 Aug 2016,3 Aug 2016,4 Aug 2016,4 Aug 2016,4 Aug 2016,4 Aug 2016,5 Aug 2016,5 Aug 2016,5 Aug 2016,5 Aug 2016,6 Aug 2016,6 Aug 2016,6 Aug 2016,6 Aug 2016,7 Aug 2016,7 Aug 2016,7 Aug 2016,7 Aug 2016,8 Aug 2016,8 Aug 2016,8 Aug 2016,8 Aug 2016,9 Aug 2016,9 Aug 2016,9 Aug 2016,9 Aug 2016,10 Aug 2016,10 Aug 2016,10 Aug 2016,10 Aug 2016,11 Aug 2016,11 Aug 2016,11 Aug 2016,11 Aug 2016,12 Aug 2016,12 Aug 2016,12 Aug 2016,12 Aug 2016,13 Aug 2016,13 Aug 2016,13 Aug 2016,13 Aug 2016,14 Aug 2016,14 Aug 2016,14 Aug 2016,14 Aug 2016,15 Aug 2016,15 Aug 2016,15 Aug 2016,15 Aug 2016,16 Aug 2016,16 Aug 2016,16 Aug 2016,16 Aug 2016,17 Aug 2016,17 Aug 2016,17 Aug 2016,17 Aug 2016,18 Aug 2016,18 Aug 2016,18 Aug 2016,18 Aug 2016,19 Aug 2016,19 Aug 2016,19 Aug 2016,19 Aug 2016,20 Aug 2016,20 Aug 2016,20 Aug 2016,20 Aug 2016,21 Aug 2016,21 Aug 2016,21 Aug 2016,21 Aug 2016,22 Aug 2016,22 Aug 2016,22 Aug 2016,22 Aug 2016,23 Aug 2016,23 Aug 2016,23 Aug 2016,23 Aug 2016,24 Aug 2016,24 Aug 2016,24 Aug 2016,24 Aug 2016,25 Aug 2016,25 Aug 2016,25 Aug 2016,25 Aug 2016,26 Aug 2016,26 Aug 2016,26 Aug 2016,26 Aug 2016,27 Aug 2016,27 Aug 2016,27 Aug 2016,27 Aug 2016,28 Aug 2016,28 Aug 2016,28 Aug 2016,28 Aug 2016,29 Aug 2016,29 Aug 2016,29 Aug 2016,29 Aug 2016,30 Aug 2016,30 Aug 2016,30 Aug 2016,30 Aug 2016,31 Aug 2016,31 Aug 2016,31 Aug 2016,31 Aug 2016
,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet
Andaman and Nicobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3,,45.3,,,,,,,,,,,,,,,,,,,,,,7.61k,7.61k,,,70.7k,70.7k,,
Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,,25.5,,,,,,,,,,,,,,,,,,265,265,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86k,2.86k,,,3.24k,3.24k,,
Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391,,391,,,,,,,,,,,,,,,,,,,,,,41.5,,41.5,,,,,
Dadra and Nagar Haveli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,227,,,,,,,,,,,,,,,,,,,,,,,,,,,227,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daman and Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,214,,,,,,,,,,,,,,,,,,,,,,,,,,,429,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643,643,,
Delhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,239,,,470,470,,,603,603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740,,740,,,,,,,,,,,,,,,,,,5.13k,5.13k,,,,,,
Gujarat,,,,,,,,,,,,,,,,,1.68k,,,1.68k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,,30.9,,,,,,,,,,,,,,,,,,,,,,12.7,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jammu and Kashmir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,,444,,,,,,959,,959,,,,,,,,,,,,,,,,,,,,,,,,,,959,,959,,,,,,,,,,,,,,,,,,,,,,,,,
Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,413,,,403,403,,
Karnataka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,,,,,,,,,,,,,,,,,916,,,916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05k,,3.05k,,423,,423,,,,,,,,,,,,,,4.61k,4.61k,,,,,,
Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608,,608,,,,,,,,,,,,,,,,,,,,,,8.49k,8.49k,,,70.0k,70.0k,,
Meghalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,207,,,207,207,,,,,,,,,,,,,,,,,,,,,,,,,,,448,,448,,,,,,,,,,,,,,,,,,,,,,8.19k,8.19k,,,,,,
Mizoram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.96k,9.96k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.47k,8.47k,,,69.7k,69.7k,,
Nagaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491,,491,,,,,,,,,,,,,,,,,,,,,,229,229,,,11.2k,11.2k,,
Orissa,,,,,,,,,,,,,33.9,,33.9,,133,,133,,,,,,,,,,5.02,,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,,229,,,,,,,,,,,,,,,,,,,,,,4.49k,4.49k,,,,,,
Puducherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,250,,,,,,,,,,,,,,,,,,,,,,,,,,,5.83k,5.83k,,,,,,
Punjab,,,,,,,,,,,,,,,,,845,,,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,,29.9,,,,,,,,,,,,,,,,,,,,,,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.38,,5.38,
Rajasthan,,,,,,,,,,,,,,,,,159,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
