Region,1 Nov,1 Nov,1 Nov,1 Nov,2 Nov,2 Nov,2 Nov,2 Nov,3 Nov,3 Nov,3 Nov,3 Nov,4 Nov,4 Nov,4 Nov,4 Nov,5 Nov,5 Nov,5 Nov,5 Nov,6 Nov,6 Nov,6 Nov,6 Nov,7 Nov,7 Nov,7 Nov,7 Nov,8 Nov,8 Nov,8 Nov,8 Nov,9 Nov,9 Nov,9 Nov,9 Nov,10 Nov,10 Nov,10 Nov,10 Nov,11 Nov,11 Nov,11 Nov,11 Nov,12 Nov,12 Nov,12 Nov,12 Nov,13 Nov,13 Nov,13 Nov,13 Nov,14 Nov,14 Nov,14 Nov,14 Nov,15 Nov,15 Nov,15 Nov,15 Nov,16 Nov,16 Nov,16 Nov,16 Nov,17 Nov,17 Nov,17 Nov,17 Nov,18 Nov,18 Nov,18 Nov,18 Nov,19 Nov,19 Nov,19 Nov,19 Nov,20 Nov,20 Nov,20 Nov,20 Nov,21 Nov,21 Nov,21 Nov,21 Nov,22 Nov,22 Nov,22 Nov,22 Nov,23 Nov,23 Nov,23 Nov,23 Nov,24 Nov,24 Nov,24 Nov,24 Nov,25 Nov,25 Nov,25 Nov,25 Nov,26 Nov,26 Nov,26 Nov,26 Nov,27 Nov,27 Nov,27 Nov,27 Nov,28 Nov,28 Nov,28 Nov,28 Nov,29 Nov,29 Nov,29 Nov,29 Nov,30 Nov,30 Nov,30 Nov,30 Nov
,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet
Andaman and Nicobar,30.9k,30.9k,,,227,227,,,2.50k,2.50k,,,1.23k,1.23k,,,545,545,,,,,,,,,,,,,,,1.42M,227,6.28k,,455,455,,,6.50k,6.50k,,,227,227,,,36.5k,36.5k,,,,,,,1.86k,1.86k,,,,,,,,,,,227,227,,,227,227,,,5.05k,5.05k,,,4.27k,4.27k,,,12.7k,12.7k,,,32.3k,32.3k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,,,,,112,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,208,,,,,,,,,,,,,,,417,417,,,27.8k,27.8k,,,,,,,417,417,,,,,,,,,,,,,,,,,,,,,,
Assam,,,,,,,,,,,,,,,,,,,,,25.1,,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,,824,,,,,,,,,,137,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dadra and Nagar Haveli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632,632,,,211,211,,,,,,,421,421,,,,,,,,,,,4.00k,,4.00k,,,,,,125,,125,
Daman and Diu,1.32k,,1.32k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.80k,,4.80k,,,,,,,,,,,,,,,,,,,,,,861,,861,,811,,811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,,226,,145,,145,,1.35k,,1.35k,,,,,,1.00k,,1.00k,
Delhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goa,,,,,1.08k,,1.08k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1k,10.1k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,,,,,497,,497,,,,,,,,,,,,,,,,,,,,,,,,,,1.14k,,1.14k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,39.5,
Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jammu and Kashmir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharkhand,,,,,800,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,108,,1.33k,,1.33k,,,,,,,,,,,,,,,,,,,,,
Karnataka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshadweep,,,,,12.8k,,12.8k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1,,52.1,,,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,,37.8,,,,,,,,,,,,,
Manipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907,,907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meghalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80k,,2.80k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizoram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.64k,9.64k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56k,,1.56k,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
