Region,1 Oct 2016,1 Oct 2016,1 Oct 2016,1 Oct 2016,2 Oct 2016,2 Oct 2016,2 Oct 2016,2 Oct 2016,3 Oct 2016,3 Oct 2016,3 Oct 2016,3 Oct 2016,4 Oct 2016,4 Oct 2016,4 Oct 2016,4 Oct 2016,5 Oct 2016,5 Oct 2016,5 Oct 2016,5 Oct 2016,6 Oct 2016,6 Oct 2016,6 Oct 2016,6 Oct 2016,7 Oct 2016,7 Oct 2016,7 Oct 2016,7 Oct 2016,8 Oct 2016,8 Oct 2016,8 Oct 2016,8 Oct 2016,9 Oct 2016,9 Oct 2016,9 Oct 2016,9 Oct 2016,10 Oct 2016,10 Oct 2016,10 Oct 2016,10 Oct 2016,11 Oct 2016,11 Oct 2016,11 Oct 2016,11 Oct 2016,12 Oct 2016,12 Oct 2016,12 Oct 2016,12 Oct 2016,13 Oct 2016,13 Oct 2016,13 Oct 2016,13 Oct 2016,14 Oct 2016,14 Oct 2016,14 Oct 2016,14 Oct 2016,15 Oct 2016,15 Oct 2016,15 Oct 2016,15 Oct 2016,16 Oct 2016,16 Oct 2016,16 Oct 2016,16 Oct 2016,17 Oct 2016,17 Oct 2016,17 Oct 2016,17 Oct 2016,18 Oct 2016,18 Oct 2016,18 Oct 2016,18 Oct 2016,19 Oct 2016,19 Oct 2016,19 Oct 2016,19 Oct 2016,20 Oct 2016,20 Oct 2016,20 Oct 2016,20 Oct 2016,21 Oct 2016,21 Oct 2016,21 Oct 2016,21 Oct 2016,22 Oct 2016,22 Oct 2016,22 Oct 2016,22 Oct 2016,23 Oct 2016,23 Oct 2016,23 Oct 2016,23 Oct 2016,24 Oct 2016,24 Oct 2016,24 Oct 2016,24 Oct 2016,25 Oct 2016,25 Oct 2016,25 Oct 2016,25 Oct 2016,26 Oct 2016,26 Oct 2016,26 Oct 2016,26 Oct 2016,27 Oct 2016,27 Oct 2016,27 Oct 2016,27 Oct 2016,28 Oct 2016,28 Oct 2016,28 Oct 2016,28 Oct 2016,29 Oct 2016,29 Oct 2016,29 Oct 2016,29 Oct 2016,30 Oct 2016,30 Oct 2016,30 Oct 2016,30 Oct 2016,31 Oct 2016,31 Oct 2016,31 Oct 2016,31 Oct 2016
,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet
Andaman and Nicobar,,,,,,,,,,,,,,,,,,,,,2.44k,,2.44k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13k,,,1.13k,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,980,,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,2.00k,,,2.00k,1.77k,1.77k,,,,,,,,,,,,,,,,,,,,,,,,,,,204,204,,,,,,,411,411,,,11.8M,3.25k,3.62k,,1.84k,1.84k,,,1.71k,1.71k,,,1.80k,1.80k,,,2.34k,2.34k,,,201,201,,,814,814,,,626,626,,,2.31k,2.31k,,,,,,,2.41k,2.41k,,,2.89k,2.89k,,,2.99k,2.99k,,,,,,,247,,,247,2.08k,2.08k,,,2.65k,2.65k,,,2.03k,2.03k,,,204,204,,,2.89k,2.89k,,
Chhattisgarh,75.4,,,75.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dadra and Nagar Haveli,,,,,227,227,,,455,455,,,,,,,227,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,238,,
