Region,1 Sep 2016,1 Sep 2016,1 Sep 2016,1 Sep 2016,2 Sep 2016,2 Sep 2016,2 Sep 2016,2 Sep 2016,3 Sep 2016,3 Sep 2016,3 Sep 2016,3 Sep 2016,4 Sep 2016,4 Sep 2016,4 Sep 2016,4 Sep 2016,5 Sep 2016,5 Sep 2016,5 Sep 2016,5 Sep 2016,6 Sep 2016,6 Sep 2016,6 Sep 2016,6 Sep 2016,7 Sep 2016,7 Sep 2016,7 Sep 2016,7 Sep 2016,8 Sep 2016,8 Sep 2016,8 Sep 2016,8 Sep 2016,9 Sep 2016,9 Sep 2016,9 Sep 2016,9 Sep 2016,10 Sep 2016,10 Sep 2016,10 Sep 2016,10 Sep 2016,11 Sep 2016,11 Sep 2016,11 Sep 2016,11 Sep 2016,12 Sep 2016,12 Sep 2016,12 Sep 2016,12 Sep 2016,13 Sep 2016,13 Sep 2016,13 Sep 2016,13 Sep 2016,14 Sep 2016,14 Sep 2016,14 Sep 2016,14 Sep 2016,15 Sep 2016,15 Sep 2016,15 Sep 2016,15 Sep 2016,16 Sep 2016,16 Sep 2016,16 Sep 2016,16 Sep 2016,17 Sep 2016,17 Sep 2016,17 Sep 2016,17 Sep 2016,18 Sep 2016,18 Sep 2016,18 Sep 2016,18 Sep 2016,19 Sep 2016,19 Sep 2016,19 Sep 2016,19 Sep 2016,20 Sep 2016,20 Sep 2016,20 Sep 2016,20 Sep 2016,21 Sep 2016,21 Sep 2016,21 Sep 2016,21 Sep 2016,22 Sep 2016,22 Sep 2016,22 Sep 2016,22 Sep 2016,23 Sep 2016,23 Sep 2016,23 Sep 2016,23 Sep 2016,24 Sep 2016,24 Sep 2016,24 Sep 2016,24 Sep 2016,25 Sep 2016,25 Sep 2016,25 Sep 2016,25 Sep 2016,26 Sep 2016,26 Sep 2016,26 Sep 2016,26 Sep 2016,27 Sep 2016,27 Sep 2016,27 Sep 2016,27 Sep 2016,28 Sep 2016,28 Sep 2016,28 Sep 2016,28 Sep 2016,29 Sep 2016,29 Sep 2016,29 Sep 2016,29 Sep 2016,30 Sep 2016,30 Sep 2016,30 Sep 2016,30 Sep 2016
,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,
Andaman and Nicobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,,,,,,,,,,,,,955,,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,,,,,,,,,,,,,31.6k,11.9k,19.7k,,7.39k,7.39k,,,209,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64k,,,2.64k,1.81k,,,1.81k
Bihar,419,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843,,843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,1.05k,1.05k,,,1.22k,1.22k,,,,,,,2.14k,,2.14k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.56k,4.56k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,202,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,,,,,,,,,,,,,1.35k,,1.35k,,,,,,,,,,5.71k,5.71k,,,3.68k,3.68k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07k,,,1.07k,,,,
Dadra and Nagar Haveli,1.67k,1.67k,,,238,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,227,,,,,,,,,,,,,,,,,,,,,,,,,,
