Region,1-8 Aug,1-8 Aug,1-8 Aug,1-8 Aug,9-16 Aug,9-16 Aug,9-16 Aug,9-16 Aug,17-24 Aug,17-24 Aug,17-24 Aug,17-24 Aug,25-31 Aug,25-31 Aug,25-31 Aug,25-31 Aug,1-8 Dec,1-8 Dec,1-8 Dec,1-8 Dec,9-16 Dec,9-16 Dec,9-16 Dec,9-16 Dec,17-24 Dec,17-24 Dec,17-24 Dec,17-24 Dec,25-31 Dec,25-31 Dec,25-31 Dec,25-31 Dec,1-8 Apr,1-8 Apr,1-8 Apr,1-8 Apr,9-15 Apr,9-15 Apr,9-15 Apr,9-15 Apr,16-23 Apr,16-23 Apr,16-23 Apr,16-23 Apr,24-30 Apr,24-30 Apr,24-30 Apr,24-30 Apr
,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet
Andaman and Nicobar,,,,,,,,,,,,,22.3,,22.3,,1.88k,1.88k,,,424,424,,,,,,,,,,,217,217,,,2.00k,2.00k,,,227,227,,,682,682,,
Andhra Pradesh,,,,,,,,,,,,,,,,,59.8,,59.8,,907,,907,,,,,,54.5,,54.5,,,,,,,,,,13.2,,13.2,,132k,,,132k
Arunachal Pradesh,,,,,,,,,,,,,,,,,131k,131k,34.1,,1.19k,1.19k,,,273,273,,,536,476,60.0,,19.7,,19.7,,1.63k,1.63k,,,2.91M,233,12.5k,,,,,
Assam,,,,,,,,,,,,,2.17G,426k,,5.09k,11.8k,,55.7,11.7k,,,,,,,,,138,,138,,105k,,,105k,29.1k,,,29.1k,671M,,24.4k,27.5k,114k,,,114k
Bihar,,,,,,,,,,,,,12.1,,12.1,,4.53G,,33.7k,135k,3.16k,,31.0,3.12k,12.1k,,,12.1k,30.0k,,,30.0k,26.8k,,,26.8k,64.1k,,,64.1k,173k,,10.4,173k,49.0M,,430,171k
Chandigarh,,,,,,,,,,,,,,,,,46.5,,46.5,,,,,,,,,,,,,,,,,,,,,,103k,896,114,,,,,
Chhattisgarh,,,,,,,,,,,,,14.0,,14.0,,5.36,,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,50.5k,,50.5k,
Dadra and Nagar Haveli,,,,,149k,149k,,,,,,,207,207,,,357k,357k,,,,,,,,,,,,,,,,,,,,,,,365,,365,,173,,173,
Daman and Diu,122k,122k,,,33.9k,33.9k,,,24.2k,24.2k,,,1.28k,1.26k,15.8,,5.39k,,5.39k,,,,,,,,,,,,,,102,,102,,,,,,192,,192,,38.5,,38.5,
Delhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.3,,86.3,,,,,,161,,161,,,,,
Goa,,,,,,,,,,,,,,,,,208,,208,,75.3,,75.3,,241k,241k,,,,,,,,,,,,,,,,,,,,,,
Gujarat,,,,,,,,,,,,,16.9,,16.9,,60.6,,60.6,,,,,,,,,,,,,,129,,129,,,,,,,,,,125k,,,125k
Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,154,,,,,
Himachal Pradesh,,,,,,,,,,,,,,,,,73.9,,73.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jammu and Kashmir,,,,,,,,,,,,,13.6,,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481,481,,
Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.7,,88.7,,,,,,,,,,,,,
Karnataka,,,,,274k,274k,,,,,,,,,,,,,,,,,,,,,,,,,,,96.4,,96.4,,7.12k,,7.12k,,149,,149,,,,,
Kerala,,,,,10.0k,10.0k,,,33.0k,33.0k,,,36.2,,36.2,,572,,572,,,,,,,,,,,,,,11.9,,11.9,,,,,,,,,,131k,,,131k
Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,15.0,,15.0,,2.53k,2.53k,,,,,,,25.1,,25.1,,23.8k,,23.8k,,54.9,,54.9,,9.82k,,9.82k,,20.2,,20.2,,16.0,,16.0,,829,,829,,,,,,123k,,,123k
Maharashtra,,,,,,,,,,,,,,,,,52.8,,52.8,,,,,,,,,,,,,,4.46k,,4.46k,,,,,,,,,,,,,
Manipur,,,,,205,205,,,,,,,205,205,,,,,,,,,,,898,898,,,4.60k,,4.60k,,,,,,425,410,15.2,,,,,,5.44k,5.44k,,
Meghalaya,,,,,4.35k,4.35k,,,,,,,4.41M,384k,11.5,,,,,,84.4,,84.4,,,,,,19.5,,19.5,,17.4,,17.4,,,,,,,,,,,,,
Mizoram,,,,,5.08k,5.08k,,,776,776,,,,,,,609,609,,,,,,,,,,,,,,,,,,,,,,,39.9k,,39.9k,,,,,
Nagaland,,,,,,,,,,,,,,,,,429,429,,,,,,,,,,,,,,,11.8,,11.8,,,,,,9.58k,,9.58k,,3.75k,3.75k,,
Orissa,,,,,3.99k,3.99k,,,,,,,7.90k,,15.3,7.89k,4.53G,,10.0k,453k,39.5k,,1.39k,75.7,20.0k,,20.0k,,75.2,,,75.2,24.5k,,12.8k,11.7k,18.7k,,256,18.4k,220k,,,220k,180k,,91.9,12.5k
Puducherry,,,,,74.4k,74.4k,,,,,,,20.2M,372k,54.3,,75.6,,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,,,,,,,,,,,,,17.0,,17.0,,,,,,,,,,53.0,,53.0,,9.49k,,9.49k,,9.72k,,9.72k,,,,,,,,,,1.92k,,,1.92k
Rajasthan,,,,,,,,,,,,,24.3,,24.3,,,,,,,,,,,,,,,,,,,,,,4.24k,,,4.24k,1.16k,,,1.16k,140k,,,140k
Sikkim,35.9k,35.9k,,,104k,104k,,,46.0,,46.0,,111k,62.3k,677,,38.8M,4.03k,11.0k,,37.2k,37.2k,7.69,,1.53k,1.30k,227,,,,,,688k,3.42k,347,,61.9k,61.9k,,,39.4k,39.4k,,,444,444,,
Tamil Nadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123k,,,123k
Tripura,3.90k,3.90k,,,39.6k,39.6k,,,130k,130k,,,58.4k,58.4k,,,29.4k,,29.4k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,,,,,,,,,,,,,,,,,7.40k,,7.40k,,,,,,,,,,,,,,,,,,,,,,,,,,4.82M,,40.0,121k
Uttaranchal,,,,,,,,,,,,,13.6,,13.6,,7.56k,,7.56k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,,,,,,,,,557k,,557k,,,,,,,,,,,,,,147,,147,,,,,,,,,,,,,,,,,,442M,,3.49k,126k
[Unknown Region],,,,,,,,,,,,,,,,,17.0k,,17.0k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
