Region,1-8 Aug,1-8 Aug,1-8 Aug,1-8 Aug,9-16 Aug,9-16 Aug,9-16 Aug,9-16 Aug,17-24 Aug,17-24 Aug,17-24 Aug,17-24 Aug,25-31 Aug,25-31 Aug,25-31 Aug,25-31 Aug,1-8 Dec,1-8 Dec,1-8 Dec,1-8 Dec,9-16 Dec,9-16 Dec,9-16 Dec,9-16 Dec,17-24 Dec,17-24 Dec,17-24 Dec,17-24 Dec,25-31 Dec,25-31 Dec,25-31 Dec,25-31 Dec,1-8 Apr,1-8 Apr,1-8 Apr,1-8 Apr,9-15 Apr,9-15 Apr,9-15 Apr,9-15 Apr,16-23 Apr,16-23 Apr,16-23 Apr,16-23 Apr,24-30 Apr,24-30 Apr,24-30 Apr,24-30 Apr
,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet,Overall Score,Active Probing,BGP,Darknet
Andaman and Nicobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,,,,,,,,,,,,,,,,,,,,,2.62k,2.62k,,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,,,,,,,,,45.3,,45.3,,59.8k,59.8k,,,,,,,,,,,,,,,,,,,14.5k,14.5k,,,,,,,,,,,,,,
Bihar,,,,,,,,,16.1,,16.1,,,,,,,,,,,,,,117,,117,,,,,,,,,,,,,,,,,,,,,
Chandigarh,,,,,,,,,291,265,25.5,,6.31k,6.31k,,,58.2k,58.2k,,,960M,1.25k,,766k,24.0k,24.0k,,,,,,,3.95M,772k,5.11,,3.67G,671k,5.47k,,788k,788k,,,,,,
Chhattisgarh,,,,,,,,,391,,391,,41.5,,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dadra and Nagar Haveli,,,,,,,,,455,455,,,,,,,476,476,,,,,,,,,,,,,,,,,,,355k,355k,,,,,,,,,,
Daman and Diu,,,,,214,214,,,429,429,,,643,643,,,214,214,,,429,429,,,1.07k,1.07k,,,,,,,,,,,,,,,,,,,,,,
Delhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goa,,,,,1.31k,1.31k,,,,,,,41.4k,40.3k,1.06k,,291,291,,,,,,,,,,,,,,,928,928,,,,,,,,,,,,,,
Gujarat,1.68k,,,1.68k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,,,,,,,,,43.6,,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jammu and Kashmir,,,,,444,,444,,11.5k,,11.5k,,1.38k,,1.38k,,,,,,7.74k,7.27k,467,,,,,,,,,,1.25k,1.25k,,,,,,,,,,,,,,
Jharkhand,,,,,,,,,,,,,815,815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,,,,,,,,,,,,,,,,,,,,,1.20k,1.20k,,,3.79k,3.79k,,,,,,,,,,,,,,,,,,,,,,
Kerala,916,,,916,,,,,,,,,370M,36.2k,14.6k,,,,,,2.38k,2.38k,,,,,,,,,,,233,,,233,,,,,,,,,,,,
Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,1.77k,1.77k,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,,,,,40.2,,40.2,,,,,,,,,,,,,,,,,,258,,258,,,,,,,,,,,,,,,,,,,,,
Manipur,,,,,,,,,608,,608,,66.7k,66.7k,,,,,,,,,,,,,,,1.60k,1.60k,,,17.2k,17.2k,,,,,,,,,,,,,,
Meghalaya,,,,,207,207,,,655,207,448,,64.3k,64.3k,,,,,,,13.2,,13.2,,,,,,,,,,2.75k,2.75k,,,372k,372k,,,,,,,,,,
Mizoram,,,,,9.96k,9.96k,,,,,,,66.6k,66.6k,,,,,,,436,436,,,,,,,,,,,24.3k,24.3k,,,,,,,,,,,,,,
Nagaland,,,,,,,,,491,,491,,11.5k,11.5k,,,219,219,,,,,,,,,,,219,219,,,72.0k,72.0k,,,320k,320k,,,3.13k,3.13k,,,,,,
Orissa,172,,172,,,,,,229,,229,,35.3k,35.3k,,,1.06k,1.06k,,,,,,,6.05,,6.05,,,,,,,,,,,,,,,,,,,,,
Puducherry,,,,,,,,,250,250,,,45.8k,45.8k,,,,,,,18.1,,18.1,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,845,,,845,,,,,45.0,,45.0,,5.38,,5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,159,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikkim,,,,,903,903,,,2.79k,2.79k,,,50.1k,50.1k,,,3.53k,3.53k,,,11.5k,11.5k,,,3.26k,3.26k,,,1.57k,1.57k,,,22.6k,22.6k,,,26.5k,26.5k,,,222,222,,,,,,
Tamil Nadu,,,,,,,,,,,,,5.63k,5.63k,,,580k,580k,,,326k,326k,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,,,,,,,,,,,,,67.9k,67.9k,,,,,,,292,273,19.1,,,,,,212,212,,,12.1k,12.1k,,,,,,,,,,,,,,
Uttar Pradesh,,,,,,,,,10.1,,10.1,,,,,,,,,,,,,,,,,,,,,,6.60,,6.60,,,,,,,,,,,,,
Uttaranchal,,,,,,,,,24.1,,24.1,,,,,,219,219,,,88.0k,,240,87.8k,3.35k,,,3.35k,,,,,,,,,,,,,,,,,,,,
West Bengal,987,,,987,,,,,5.78M,1.90k,79.4,30.1k,151M,14.1k,,17.2k,217,217,,,,,,,203,203,,,,,,,,,,,72.1k,72.1k,,,,,,,,,,
[Unknown Region],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
